id	"levelName"
1	[guide_41_1,guide_33_1]
2	[guide_34_1,guide_45_1,guide_56_1]
3	[guide_55_1,guide_66_1,guide_67_1,guide_68_1]
4	[guide_36_1,guide_66_2,guide_68_2,guide_77_1]
5	[guide_64_1,guide_65_1,guide_68_3,guide_79_1]
6	[guide_56_2,guide_66_3,guide_58_1,guide_69_1]
7	[guide_45_2,guide_56_3,guide_57_1,guide_68_4]
8	[guide_47_1,guide_66_4,guide_66_5,guide_79_2]
9	[guide_46_1,guide_65_2,guide_57_2,guide_78_1]
10	[guide_55_2,guide_66_6,guide_77_2,guide_88_1]
11	[level_57_5_3,level_66_23_5,level_78_44_4,level_88_76_4]
12	[level_56_20_4,level_66_62_4,level_78_24_6,level_89_40_6]
13	[level_57_78_4,level_67_5_4,level_69_59_5,level_89_89_4]
14	[level_56_32_5,level_66_54_4,level_78_31_6,level_810_4_5]
15	[level_55_44_4,level_67_78_3,level_77_14_6,level_810_77_5]
16	[level_56_49_5,level_66_46_3,level_79_5_4,level_89_27_5]
17	[level_57_93_5,level_67_11_4,level_77_45_4,level_810_66_4]
18	[level_55_57_4,level_58_36_4,level_77_56_4,level_89_31_5]
19	[level_55_69_3,level_66_26_3,level_78_26_6,level_810_55_5]
20	[level_56_42_5,level_58_83_3,level_69_41_4,level_810_5_4]
21	[level_55_74_3,level_66_78_4,level_69_76_6,level_88_46_5]
22	[level_56_11_4,level_68_58_4,level_69_57_4,level_810_8_6]
23	[level_56_16_5,level_68_53_5,level_69_25_6,level_88_70_5]
24	[level_55_22_4,level_67_47_5,level_78_65_6,level_89_24_6]
25	[level_56_39_4,level_67_55_3,level_77_60_5,level_89_56_6]
26	[level_57_59_4,level_58_10_5,level_79_41_6,level_89_96_6]
27	[level_56_65_5,level_68_88_3,level_77_35_5,level_89_36_5]
28	[level_56_85_3,level_58_15_4,level_77_52_6,level_89_77_6]
29	[level_56_38_4,level_58_14_4,level_77_15_5,level_810_87_5]
30	[level_57_20_4,level_68_31_4,level_77_54_5,level_810_62_4]
31	[level_56_68_5,level_67_66_3,level_79_10_4,level_88_86_6]
32	[level_56_46_5,level_58_79_3,level_69_1_6,level_88_30_5]
33	[level_55_8_4,level_68_70_4,level_69_71_4,level_88_56_4]
34	[level_56_86_5,level_67_60_4,level_78_73_4,level_88_20_6]
35	[level_55_9_4,level_58_23_3,level_79_76_5,level_88_84_6]
36	[level_55_14_4,level_68_77_5,level_69_43_5,level_89_39_6]
37	[level_57_36_4,level_67_20_3,level_78_89_5,level_88_31_5]
38	[level_57_77_5,level_58_3_3,level_78_57_4,level_89_92_4]
39	[level_55_77_4,level_67_77_3,level_78_99_5,level_89_25_5]
40	[level_55_16_4,level_66_49_5,level_79_89_5,level_810_49_4]
41	[level_57_3_5,level_66_52_5,level_79_70_4,level_89_60_4]
42	[level_57_29_5,level_68_71_5,level_77_53_6,level_88_91_5]
43	[level_57_69_5,level_68_12_5,level_69_93_6,level_88_33_4]
44	[level_57_44_4,level_68_51_4,level_79_11_5,level_88_5_5]
45	[level_57_85_3,level_67_14_3,level_69_37_4,level_89_94_6]
46	[level_57_79_4,level_58_45_3,level_78_61_5,level_89_63_6]
47	[level_55_53_5,level_67_3_5,level_78_78_6,level_88_7_6]
48	[level_57_53_3,level_66_34_3,level_69_85_6,level_810_10_4]
49	[level_55_46_4,level_58_51_5,level_79_6_5,level_89_23_6]
50	[level_57_91_3,level_58_22_5,level_77_47_5,level_810_72_4]
51	[level_55_29_4,level_66_44_3,level_79_39_5,level_88_88_5]
52	[level_57_16_3,level_58_73_4,level_77_8_5,level_88_61_4]
53	[level_55_15_4,level_66_81_3,level_77_46_4,level_89_84_6]
54	[level_55_76_3,level_67_71_5,level_77_18_4,level_810_78_6]
55	[level_56_24_4,level_68_62_4,level_77_74_6,level_89_38_6]
56	[level_57_24_3,level_68_100_4,level_69_80_4,level_88_49_4]
57	[level_56_2_4,level_68_2_3,level_69_48_6,level_89_57_6]
58	[level_56_81_3,level_58_70_3,level_79_86_5,level_88_72_6]
59	[level_55_5_3,level_67_74_5,level_77_69_4,level_88_51_6]
60	[level_56_3_3,level_68_33_4,level_78_63_5,level_89_3_6]
61	[level_55_34_3,level_58_90_4,level_69_11_5,level_810_58_5]
62	[level_57_12_4,level_58_1_5,level_69_53_4,level_89_30_4]
63	[level_57_73_5,level_67_67_3,level_77_20_4,level_810_76_6]
64	[level_57_23_3,level_67_86_5,level_77_65_5,level_89_93_4]
65	[level_55_38_5,level_67_81_5,level_77_7_4,level_89_13_6]
66	[level_57_74_5,level_66_36_3,level_69_56_4,level_89_42_5]
67	[level_56_67_4,level_68_28_5,level_77_89_5,level_89_54_5]
68	[level_57_45_3,level_66_84_4,level_77_11_6,level_810_37_4]
69	[level_57_83_3,level_67_87_5,level_77_58_5,level_88_16_6]
70	[level_55_40_5,level_58_98_4,level_69_96_6,level_810_90_4]
71	[level_56_27_5,level_66_12_4,level_79_18_4,level_810_75_6]
72	[level_56_71_5,level_68_15_4,level_78_50_5,level_88_75_6]
